origin_cbg,destination_cbg,trips
515900008002,371570403003,39
371570405021,371570405023,4542
371510303013,371570413004,159
510890106011,371570409001,159
370810163052,371570410023,91
370810157074,371570413004,40
130730304033,371570403002,3225
370810165053,371570410021,72
511610302032,371570410023,40
370810154023,371570401013,78
370810164071,371570410023,221
370810158001,371570406023,247
450510402001,371570414001,26
516900005003,371570405023,10
511430111002,371570414001,39
371570409001,371570416012,197
371570402001,371570413004,509
371570407004,371570407004,98
371570407004,371570410023,412
371570402001,371570415022,123
370339303001,371570401013,868
370670038041,371570409001,62
370810158002,371570408001,832
371570406012,371570415022,23
371690701021,371570407001,896
371570412001,371570411003,47
510890106021,371570410012,432
370810157073,371570410022,30
371570410012,371570410021,2655
370810158003,371570412003,226
371570416012,371570416022,153
371570414001,371570409002,87
371570406012,371570406023,14589
371570416011,371570415011,2807
515900005002,371570415021,173
371570411003,371570408001,495
340155006014,371570413004,285
371570404001,371570409001,294
370810113002,371570412003,138
371570405012,371570402002,134
370339303001,371570414002,394
371459203002,371570403003,396
370670036002,371570408001,754
516900003001,371570406023,159
371570416023,371570409002,96
371570412002,371570403002,317
370670033093,371570408001,17
371010412051,371570414001,2
370810155001,371570415021,853
370810156022,371570415021,1377
370670028081,371570408001,93
450510402001,371570410012,59
371570406012,371570405023,1096
510890104003,371570403002,22
371570405022,371570412001,208
370810159012,371570403003,517
371350112042,371570414001,102
450510503032,371570414001,6
370670033102,371570410023,40
371570406012,371570410014,98
371570408001,371570414002,198
371570407002,371570407002,697
370010212053,371570410012,191
170318118002,371570413004,286
370810158001,371570412003,688
371570411001,371570410023,298
370810128043,371570415023,67
370670017003,371570410021,72
371570411006,371570413004,298
370810159013,371570409001,41
371570401023,371570411005,46
370810151001,371570412003,2907
510890102005,371570410023,40
370810156023,371570416021,264
371570415011,371570403002,28
371570401022,371570403001,1698
515900012002,371570412004,298
371570403002,371570404002,1543
371690706001,371570409002,35
371570404004,371570406022,3
371570411006,371570405023,3656
370810156012,371570415022,84
371719309021,371570414001,77
370810160032,371570414001,96
371570411002,371570415023,1089
370810110002,371570416012,34
511430110013,371570403001,293
371570416021,371570412003,6444
370810162041,371570413004,135
370810128031,371570412004,14
371570405012,371570415011,280
371570401022,371570414002,737
370670014001,371570410023,974
370810158002,371570415022,46
371570415022,371570415021,8445
371570404003,371570408001,26
371570405021,371570412003,1716
370810125102,371570410012,59
370810116013,371570412004,72
371010407002,371570403003,218
371570404001,371570406023,1448
371570406022,371570405021,1217
370810160083,371570410021,107
370810119051,371570405023,19
370810156021,371570409003,92
450510403002,371570403003,103
511430113011,371570412003,179
371570405022,371570411003,70
371570403002,371570412001,389
371570410021,371570403002,676
370670033072,371570410021,282
371570410021,371570406012,142
370190203161,371570409001,198
371570406013,371570414002,48
370810164051,371570408001,74
370339303001,371570412004,39
370810119052,371570412003,32
516900004003,371570406023,268
370810126192,371570410021,218
371570414001,371570405021,23
511430109002,371570412003,101
515900008001,371570404003,27
371570416023,371570403001,379
371570411005,371570412004,1447
371570413004,371570408001,702
510890106023,371570408001,475
371570416012,371570407001,32
370810164062,371570409003,305
370810106023,371570412003,55
371570405023,371570405021,333
371690702003,371570408001,61
370670022002,371570412003,226
371570406012,371570404002,164
370010206022,371570412003,99
370670028071,371570408001,60
370810153021,371570412003,214
371570412004,371570403001,1347
370670029041,371570408001,135
370810164051,371570406023,401
371570410014,371570410022,291
371570407004,371570410021,214
371570404002,371570410012,325
371570401013,371570411001,924
515900013021,371570406023,228
370010216001,371570403003,17
371570406021,371570403003,11626
371570410021,371570411003,1259
510890106012,371570403001,790
371570413001,371570413001,3760
370810156022,371570416012,106
370810125083,371570410023,1575
515900005002,371570413004,342
371570406021,371570402003,186
371570412003,371570402002,200
370810102003,371570412003,198
370670041022,371570408001,283
371570409001,371570409002,5727
370570603033,371570406023,64
371570416021,371570405023,57
450510402002,371570403003,490
371570401023,371570411001,43
371570416012,371570413004,761
371570404003,371570410023,352
370670033122,371570406023,107
370810105002,371570406023,268
371570411001,371570408001,1114
515900012002,371570415021,171
371570408001,371570412003,197
371570406012,371570409001,1631
371570406022,371570412003,939
371570403001,371570412004,217
370670032013,371570409003,214
371570407003,371570414001,31
120710402113,371570410021,72
370810172003,371570415021,145
371690707021,371570407001,555
510890101002,371570410012,145
370810154024,371570416023,49
371719309021,371570412004,110
371570408001,371570403002,493
370810155001,371570406023,982
370339305001,371570415021,873
450510403002,371570410023,40
511430111002,371570414002,23
371570409002,371570406012,245
510890107003,371570409001,118
370810125033,371570406023,254
370810116022,371570415022,24
370810159012,371570408001,2322
370810153012,371570414002,54
510890106021,371570412002,88
370810164062,371570410011,229
371570411002,371570401012,252
371570409003,371570406021,109
371570404003,371570402002,362
370010217033,371570412004,38
370810103002,371570413004,1055
370010217031,371570412003,147
370810104032,371570416023,54
371570411005,371570403003,19890
371459205001,371570412003,54
371570412001,371570412004,4256
371570410015,371570403001,57
371570410023,371570412003,520
371570416023,371570416023,3469
370810162011,371570403001,362
371570403002,371570415023,1059
