home_place,poi_place,visits
Eden,Eden,3195315
Reidsville,Reidsville,2561561
Reidsville,Eden,845225
Other_Rockingham,Reidsville,698236
Eden,Reidsville,680526
Other_Rockingham,Eden,624240
