origin_county,trips
Flagler County,3767.0
Steuben County,3724.0
Baldwin County,3659.0
Dane County,3658.0
Washoe County,3600.0
Medina County,3597.0
Stark County,3577.0
St. Clair County,3569.0
Utah County,3564.0
Bexar County,3556.0
Kanawha County,3526.0
Bryan County,3511.0
Pierce County,3484.0
Caroline County,3484.0
Genesee County,3482.0
Jefferson Parish,3482.0
Adams County,3455.0
Rockbridge County,3444.0
Mahoning County,3425.0
Allen County,3386.0
Waynesboro city,3380.0
Albany County,3362.0
Cameron County,3341.0
Dinwiddie County,3330.0
Hunterdon County,3323.0
Colleton County,3321.0
Frederick County,3273.0
King William County,3272.0
Travis County,3266.0
Alachua County,3252.0
Williamsburg city,3231.0
Worcester County,3226.0
Shenandoah County,3226.0
Habersham County,3146.0
Rogers County,3116.0
Jasper County,3100.0
Spotsylvania County,3060.0
Franklin city,3059.0
Kenton County,3037.0
Sumner County,2977.0
Ottawa County,2977.0
Calhoun County,2972.0
Catoosa County,2966.0
Portsmouth city,2936.0
New Kent County,2930.0
Schuylkill County,2913.0
Luzerne County,2904.0
St. Joseph County,2902.0
King County,2886.0
Coweta County,2885.0
Berrien County,2875.0
Cattaraugus County,2855.0
Louisa County,2810.0
Livingston County,2803.0
Trumbull County,2797.0
Tift County,2781.0
Collier County,2743.0
Licking County,2692.0
Muskingum County,2686.0
Hampton County,2682.0
Miami County,2670.0
St. Lawrence County,2664.0
Houston County,2659.0
Saginaw County,2623.0
Indian River County,2592.0
Lucas County,2587.0
Tazewell County,2584.0
Pulaski County,2551.0
Amherst County,2524.0
Atlantic County,2514.0
Greenwood County,2490.0
El Paso County,2490.0
Leon County,2452.0
Fauquier County,2440.0
Ellis County,2417.0
Lehigh County,2406.0
Saluda County,2403.0
Clinton County,2384.0
Denver County,2379.0
Alexandria city,2372.0
Bulloch County,2370.0
Oneida County,2365.0
Muskegon County,2361.0
Scott County,2359.0
Clearfield County,2343.0
Colonial Heights city,2341.0
Lumpkin County,2319.0
LaSalle County,2262.0
Lorain County,2229.0
Bibb County,2196.0
Lamar County,2195.0
Smyth County,2194.0
Gilmer County,2187.0
Barnstable County,2187.0
Edgefield County,2169.0
Baltimore city,2157.0
McKean County,2155.0
Loudon County,2144.0
Lenawee County,2142.0
Highlands County,2141.0
McHenry County,2133.0
Norfolk County,2125.0
Salt Lake County,2124.0
Hudson County,2124.0
Dutchess County,2113.0
Hardin County,2108.0
Clarke County,2098.0
Vernon Parish,2066.0
San Diego County,2050.0
Washtenaw County,2028.0
Salem County,1983.0
Powhatan County,1975.0
Greeley County,1949.0
Broome County,1947.0
Paulding County,1917.0
Dakota County,1895.0
St. Louis County,1894.0
Botetourt County,1893.0
Chautauqua County,1893.0
Providence County,1891.0
LaPorte County,1889.0
Hawkins County,1849.0
Lawrence County,1843.0
Rhea County,1825.0
Ulster County,1812.0
Hancock County,1763.0
Androscoggin County,1756.0
Wicomico County,1754.0
Van Buren County,1750.0
Stephens County,1747.0
Hernando County,1746.0
Sedgwick County,1734.0
Effingham County,1708.0
Coffee County,1708.0
Brazoria County,1699.0
Culpeper County,1688.0
King George County,1657.0
Bossier Parish,1643.0
Ascension Parish,1639.0
Whitley County,1634.0
Alameda County,1611.0
Whitfield County,1601.0
Harrisonburg city,1597.0
Pocahontas County,1594.0
Salem city,1588.0
Brown County,1580.0
Claiborne County,1575.0
Outagamie County,1559.0
Herkimer County,1546.0
Portage County,1545.0
Westmoreland County,1538.0
Lebanon County,1525.0
Santa Rosa County,1524.0
Hampden County,1521.0
