destination_name,trips
Acadia Realty Trust,146394.0
Veterinary Centers,142980.0
Longhorn Steakhouse,142463.0
Pizza Hut,142351.0
Snack and Nonalcoholic Beverage Bars,141910.0
"The Hartford Financial Services Group, Inc.",141504.0
Gasoline Stations with Convenience Stores,139238.0
Whistle Express Car Wash,139214.0
Outdoor Shops,137726.0
Speedway,136874.0
Bank of America Corporation,136400.0
Travel Agencies,136053.0
Wireless Telecommunications Carriers (except Satellite),134272.0
Burlington Stores Inc.,134243.0
Amusement Arcades,131711.0
Golf Courses and Country Clubs,131414.0
Biscuitville,130069.0
"International Dairy Queen, Inc.",129941.0
Regal Nails Salon & Spa LLC,129282.0
Audiologists,128105.0
Verizon Communications Inc.,126971.0
Johnson & Wales University-Charlotte,125269.0
Koury Corporation,124397.0
RV (Recreational Vehicle) Parks and Campgrounds,124265.0
Electric Vehicle Charging Stations,123881.0
Sonic Corp.,123409.0
Canidae,123198.0
Crabtree Valley Mall,120442.0
International House of Pancakes,119985.0
Escape Enterprises Ltd,119277.0
Tanger Factory Outlet Centers Inc.,118188.0
Outback Steakhouse,114156.0
"T-Mobile US, Inc.",113773.0
"IHRSA (International Health, Racquet & Sportsclub Association)",112693.0
"Best Buy Co., Inc.",112220.0
Ace Hardware Corporation,111805.0
"ULTA Salon, Cosmetics & Fragrance, Inc.",111083.0
Sam's Xpress,110869.0
Museums,110556.0
Florists,110485.0
O'Reilly ASE Certified,109086.0
National Automotive Parts Association Auto Care,108972.0
Harbor Freight Tools,108312.0
Department Stores,108290.0
"Five Below, Inc.",108114.0
Little Caesar Enterprises Inc.,106630.0
76,106510.0
Golden Corral,106186.0
"The Michaels Companies, Inc.",105937.0
Other Clothing Stores,104940.0
Shaw University,103610.0
North Carolina A & T State University,102477.0
DRA Advisors LLC,101860.0
University Of North Carolina At Charlotte,101856.0
University Of North Carolina At Greensboro,101475.0
"Barnes & Noble, Inc.",101452.0
Cleveland Community College,101115.0
Libraries and Archives,101090.0
Davidson College,101050.0
SpareFoot,99978.0
Smithfield's Chicken 'N Bar-B-Q,98620.0
University Of North Carolina Wilmington,98609.0
"Armada Hoffler Properties, Inc.",98147.0
Buffalo Wild Wings Inc.,98146.0
Holiday Inn Express,97184.0
Book Stores,97151.0
